,id,name,genre,sub_genre,followers
85,17lzZA2AlOHwCwFALHttmp,2 Chainz,rap,"['atl hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",7133008
86,163tK9Wjr9P9DmM0AVK7lm,Lorde,pop,"['art pop', 'dance pop', 'electropop', 'metropopolis', 'nz pop', 'pop']",9441542
87,23zg3TcAtWQy7J6upgbUnj,Usher,pop,"['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'south carolina hip hop', 'urban contemporary']",9657899
88,3KV3p5EY4AvKxOlhGHORLg,Jeremih,pop,"['chicago rap', 'dance pop', 'pop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",5686072
89,74XFHRwlV6OrjEM0A2NCMF,Paramore,pop,"['candy pop', 'pixie', 'pop emo', 'pop punk']",6883673
90,02kJSzxNuaWGqwubyUba0Z,G-Eazy,pop,"['indie pop rap', 'oakland hip hop', 'pop', 'pop rap', 'rap']",5060673
91,3b8QkneNDz4JHKKKlLgYZg,Florida Georgia Line,pop,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']",4747162
92,6ASri4ePR7RlsvIQgWPJpS,iann dior,pop,"['melodic rap', 'pop rap']",1568185
93,5Rl15oVamLq7FbSb0NNBNy,5 Seconds of Summer,pop,"['boy band', 'dance pop', 'pop', 'post-teen pop']",8509268
94,26dSoYclwsYLMAKD3tpOr4,Britney Spears,pop,"['dance pop', 'pop', 'post-teen pop']",10838425
95,6LqNN22kT3074XbTVUrhzX,Kesha,pop,"['dance pop', 'electropop', 'pop', 'post-teen pop']",7210043
96,4xRYI6VqpkE3UwrDrAZL8L,Logic,rap,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']",5702076
97,3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,pop,"['pop', 'r&b', 'soul']",22711080
98,1sBkRIssrMs1AbVkOJbc7a,Rick Ross,rap,"['dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",5866175
99,0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,pop,"['dance pop', 'pop', 'post-teen pop']",34945439
100,4obzFoKoKRHIphyHzJ35G3,Becky G,latin,"['dance pop', 'latin', 'latin viral pop', 'pop', 'rap latina', 'reggaeton']",11452559
101,0z4gvV4rjIZ9wHck67ucSV,Akon,pop,['dance pop'],3168083
102,2jku7tDXc6XoB6MO2hFuqg,Tory Lanez,rap,"['canadian hip hop', 'canadian trap', 'melodic rap', 'pop rap', 'r&b', 'rap', 'toronto rap', 'trap']",4379155
103,2o5jDhtHVPhrJdv3cEQ99Z,Tiësto,edm,"['big room', 'brostep', 'dance pop', 'dutch edm', 'edm', 'house', 'pop', 'pop dance', 'slap house', 'trance', 'tropical house']",6348760
104,2hR4h1Cao2ueuI7Cx9c7V8,Cavetown,pop,"['bedroom pop', 'indie pop']",3093097
105,25uiPmTg16RbhZWAqwLBy5,Charli XCX,pop,"['art pop', 'candy pop', 'dance pop', 'electropop', 'metropopolis', 'pop', 'uk pop']",2620834
106,1KCSPY1glIKqW2TotWuXOR,P!nk,pop,"['dance pop', 'pop', 'post-teen pop']",13074458
107,20wkVLutqVOYrc0kxFs7rA,Daniel Caesar,pop,"['canadian contemporary r&b', 'pop', 'r&b']",3243571
108,21E3waRsmPlU7jZsS13rcj,Ne-Yo,pop,"['dance pop', 'pop', 'r&b', 'urban contemporary']",7092807
109,2HPaUgqeutzr3jx5a9WyDV,PARTYNEXTDOOR,pop,"['pop', 'pop rap', 'r&b', 'rap', 'toronto rap', 'trap', 'urban contemporary']",3801519
110,5WUlDfRSoLAfcVSX1WnrxN,Sia,pop,"['australian dance', 'australian pop', 'pop']",23212528
111,0hEurMDQu99nJRq8pTxO14,John Mayer,pop,"['neo mellow', 'pop rock', 'singer-songwriter']",5504134
112,20sxb77xiYeusSH8cVdatc,Meek Mill,rap,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",6132636
113,0VRj0yCOv2FXJNP47XQnx5,Quavo,rap,"['atl hip hop', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",5674964
114,3uwAm6vQy7kWPS2bciKWx9,girl in red,pop,"['bedroom pop', 'bubblegrunge', 'indie pop', 'norwegian indie', 'pop']",4912643
115,07YZf4WDAMNwqr4jfgOZ8y,Jason Derulo,pop,"['dance pop', 'pop', 'pop rap', 'post-teen pop']",11117508
116,0EmeFodog0BfCgMzAIvKQp,Shakira,latin,"['colombian pop', 'dance pop', 'latin', 'latin pop', 'pop']",23559057
117,3q7HBObVc0L8jNeTe5Gofh,50 Cent,rap,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']",8900789
118,4npEfmQ6YuiwW1GpUmaq3F,Ava Max,pop,"['dance pop', 'pop']",5222206
119,23fqKkggKUBHNkbKtXEls4,Kygo,edm,"['edm', 'pop', 'pop dance', 'tropical house']",8016380
120,7n2Ycct7Beij7Dj7meI4X0,TWICE,pop,"['k-pop', 'k-pop girl group']",13423633
121,4DdkRBBYG6Yk9Ka8tdJ9BW,Offset,rap,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",2294855
122,6USv9qhCn6zfxlBQIYJ9qs,Dominic Fike,pop,"['alternative pop rock', 'pop']",916277
123,3DiDSECUqqY1AuBP8qtaIa,Alicia Keys,pop,"['hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']",9692106
