,id,name,release_date,artist_id,genre
3299,26d9EFfi2YSvhQv7KKcrNw,State of Emergency,2020-05-08,6jGMq4yGs7aQzuGsMgVgZR,rap
3300,7GoZNNb7Yl74fpk8Z6I2cv,4:44,2017-07-07,3nFkdlSjzX9mRTtwJOzDYB,rap
3301,0anlRE2dYlRqEKL1gj1WPq,Magna Carta... Holy Grail,2013-07-04,3nFkdlSjzX9mRTtwJOzDYB,rap
3302,64nbgEEIcY4g1ElVLONJ0w,Man On The Moon III: The Chosen,2020-12-11,0fA0VVWsXO9YnASrzqfmYu,rap
3305,5bCk3kWAy2JbbTfHqzZCII,"Passion, Pain & Demon Slayin'",2016-12-16,0fA0VVWsXO9YnASrzqfmYu,rap
3306,3MATDdrpHmQCmuOcozZjDa,TESTING,2018-05-25,13ubrt8QOOCPljQ2FL1Kca,rap
3307,5b6HBIqolYQCK29Ma4tVqP,AT.LONG.LAST.A$AP,2015-06-17,13ubrt8QOOCPljQ2FL1Kca,rap
3309,1eVrpJbHRLBbioB9sb5b94,LIVE LIFE FAST,2021-12-17,757aE44tKEUQEqRuT6GnEB,rap
3311,52u4anZbHd6UInnmHRFzba,Please Excuse Me for Being Antisocial,2019-12-06,757aE44tKEUQEqRuT6GnEB,rap
3312,1jlIU9p7PChTK3AeqNpnsX,Feed Tha Streets II,2018-11-02,757aE44tKEUQEqRuT6GnEB,rap
3313,5BreDfoKKD7DBSzzQ6tAAi,LEMME FIND OUT,2021-10-01,757aE44tKEUQEqRuT6GnEB,rap
3314,15BnishwaiZhh0ZY3fnxMN,SoulFly (Deluxe Version),2021-08-20,45TgXXqMDdF8BkjA83OM7z,rap
3315,7q5xGp0tEnJ8s1ZumqiRSk,SoulFly,2021-03-26,45TgXXqMDdF8BkjA83OM7z,rap
3316,0pGGvcUT08FrwV0RJIIVA9,Pray 4 Love (Deluxe),2020-08-07,45TgXXqMDdF8BkjA83OM7z,rap
3317,1r1Xt6oUnY3VMYbQb1U7CO,EVERYBODY'S EVERYTHING,2019-11-15,2kCcBybjl3SAtIcwdWpUe3,rap
3318,52JymrguPgkmmwLaWIusst,"Come Over When You're Sober, Pt. 2",2018-11-09,2kCcBybjl3SAtIcwdWpUe3,rap
3319,33TJ52PuwenGmysJrwMGCe,"Come Over When You're Sober, Pt. 1",2017-08-15,2kCcBybjl3SAtIcwdWpUe3,rap
3320,6ay4qFjg5VgZFqJmiGcIIm,crybaby,2016,2kCcBybjl3SAtIcwdWpUe3,rap
3321,3nrdCjP7QGBqMEutGTtT1B,What It Means To Be King,2022-03-04,6QtgPSJPSzcnn7dPZ4VINp,rap
3323,7gGJ9rNtigRF53dsFo48Wp,Welcome to O'Block,2020-10-30,6QtgPSJPSzcnn7dPZ4VINp,rap
3324,1ZRAeQ6zsPJ5W1K3DvpRpP,Levon James,2020-03-06,6QtgPSJPSzcnn7dPZ4VINp,rap
3325,5BAggP8hO7VWDSTKkNGyCi,"Grandson, Vol. 1",2019-09-20,6QtgPSJPSzcnn7dPZ4VINp,rap
3326,1WELnoLbD0VAAg1HvI3VbC,Michigan Boy Boat,2021-04-23,6icQOAFXDZKsumw3YXyusw,rap
3327,6ufaA5YvSGK3E9KnRFYvvo,Lil Boat 3.5,2020-11-27,6icQOAFXDZKsumw3YXyusw,rap
3328,2CYr9450iYkEWq4IWL8plY,Lil Boat 3,2020-05-29,6icQOAFXDZKsumw3YXyusw,rap
3329,7n23fjZTviIUnHyvZGQjni,The Melodic Blue,2021-09-22,5SXuuuRpukkTvsLuUknva1,rap
3331,7Cw4LObzgnVqSlkuIyywtI,DIE FOR MY BITCH,2019-07-19,5SXuuuRpukkTvsLuUknva1,rap
3332,5lxdY4GQkCJMcvScmwRgCx,The Sound of Bad Habit,2018-10-29,5SXuuuRpukkTvsLuUknva1,rap
3333,3HqmX8hGcbbQZODgayNEYx,family ties (with Kendrick Lamar),2021-08-27,5SXuuuRpukkTvsLuUknva1,rap
3337,3IO8IPjwXuzPJnoaqkwYrj,NOT ALL HEROES WEAR CAPES (Deluxe),2018-11-06,0iEtIxbK0KxaSlF7G42ZOp,rap
3338,1nGbXgS6toEOcFCDwEl5R3,California Love,2019-08-01,1ZwdS5xdxEREPySFridCfh,rap
3339,5OJSEPm7mDBRDX5Jevjo8F,Ghetto Gospel (The Birth of A Legend),2012-11-06,1ZwdS5xdxEREPySFridCfh,rap
3340,2qmmPaaWXRM1kZujpUKKsO,Soldier 2 Soldier (Collector's Edition),2010-11-23,1ZwdS5xdxEREPySFridCfh,rap
3341,6IrEpFAoaYCR8mlSYPv2Fy,Pac's Life,2006-01-01,1ZwdS5xdxEREPySFridCfh,rap
3342,6a1EFm7L9Nl1wTm7JsrYBK,CHOMP 2,2021-12-08,1z7b1Pr1rSlvWRzsW3HOrS,rap
3343,5Vmz3pIxG7Dsx7fzHgtyJB,SHAKE THE SNOW GLOBE (DELUXE),2020-05-19,1z7b1Pr1rSlvWRzsW3HOrS,rap
3344,2ZzatxW5gv1XZ0uai8TKxk,SHAKE THE SNOW GLOBE,2020-01-31,1z7b1Pr1rSlvWRzsW3HOrS,rap
3345,48Kac3ieDtt9OSp9Fm4g9e,ZOO,2018-09-07,1z7b1Pr1rSlvWRzsW3HOrS,rap
3346,0lUL92det7mZ4DaHYmiUEC,There's Really A Wolf,2017-05-05,1z7b1Pr1rSlvWRzsW3HOrS,rap
3347,2ybRB5pXB2XCjLbvRQMrw9,We Love You Tecca 2 (Deluxe),2021-09-01,4Ga1P7PMIsmqEZqhYZQgDo,rap
3348,7nTvm6EgmFWPLMLxj6aksS,We Love You Tecca 2,2021-08-27,4Ga1P7PMIsmqEZqhYZQgDo,rap
3349,389zGArsMlwuPorS4Cw7IX,Virgo World,2020-09-18,4Ga1P7PMIsmqEZqhYZQgDo,rap
3350,6ZnMFVV5HDv2xmHG7bn7et,Compton,2015-08-21,6DPYiyq5kWVQS4RGwxzPC7,rap
3351,3t3Ar2cJUVLY6yTRmrezI8,2001 Instrumental,1999-11-17,6DPYiyq5kWVQS4RGwxzPC7,rap
3352,7q2B4M5EiBkqrlsNW8lB7N,2001,1999-11-16,6DPYiyq5kWVQS4RGwxzPC7,rap
3353,5qteDmbjYSYe4lxOYSwjoj,3.15.20,2020-03-23,73sIBHcqh3Z3NyqHKZ7FOL,rap
3355,4Carzsnpd6yvuHZ49I0oz8,"""Awaken, My Love!""",2016-12-02,73sIBHcqh3Z3NyqHKZ7FOL,rap
3356,5dVKggb6Nvfp7JJdLfHPof,Kauai,2014-10-03,73sIBHcqh3Z3NyqHKZ7FOL,rap
3357,527JxbrqUTevhf0mgQlMWB,A Gangsta’s Pain: Reloaded,2021-10-22,3tJoFztHeIJkJWMrx0td2f,rap
3358,5ffogo3K3fYibGWa93IzUe,A Gangsta’s Pain,2021-04-23,3tJoFztHeIJkJWMrx0td2f,rap
3359,4faPRidDvKRvHnWdvmvVHv,Code Red,2020-09-18,3tJoFztHeIJkJWMrx0td2f,rap
3360,42WcUIaTj6ggCHj6bNelpB,Madden NFL 22 Soundtrack,2021-08-13,6U3ybJ9UHNKEdsH7ktGBZ7,rap
3361,2L13Kv0sx6GPAHo7QTZLAy,Spilligion,2020-09-25,6U3ybJ9UHNKEdsH7ktGBZ7,rap
3362,2oI6gtIXrvNiL2VEMmj5kY,DiCaprio 2,2018-11-26,6U3ybJ9UHNKEdsH7ktGBZ7,rap
3363,60Od32zDXklGhsYo6ADaPG,Sin City The Mixtape,2021-06-25,2rhFzFmezpnW82MNqEKVry,rap
3364,0z0z4DcXhHiobX5ZKAw8Qn,STOKELEY,2018-11-30,2rhFzFmezpnW82MNqEKVry,rap
3365,2hdRJLsW5qdvVZ0yaYpqO4,BEWARE THE BOOK OF ELI,2018-05-11,2rhFzFmezpnW82MNqEKVry,rap
3366,0ZjOFfItjIA9YbzhERRIBr,Still Sleep? (Deluxe),2021-10-08,6EPlBSH2RSiettczlz7ihV,rap
3367,38nZLvJx8A9p4YYpTG5iFP,Still Sleep?,2021-06-02,6EPlBSH2RSiettczlz7ihV,rap
3368,3P7EIeXmzJQNT1xs4Q6Xzd,Sleepy Hallow Presents: Sleepy For President,2020-06-05,6EPlBSH2RSiettczlz7ihV,rap
3369,0giyK2LuJ6wcfVN2QXDIlB,DON'T SLEEP,2019-10-31,6EPlBSH2RSiettczlz7ihV,rap
3370,1xwuoLGU6bjyiGArJAVYeH,Last Ones Left,2022-04-08,45gHcnDnMC15sgx3VL7ROG,rap
3371,66nqCnC1huqh5gqkGeGIAS,Free Dem Boyz (Deluxe),2021-08-27,45gHcnDnMC15sgx3VL7ROG,rap
3372,4zJiUubJvgUJNq0BVD9Mvs,Free Dem Boyz,2021-05-21,45gHcnDnMC15sgx3VL7ROG,rap
3373,74xlON1sCCChynzbgLlc7Q,It's Almost Dry: Pharrell vs. Ye,2022-04-25,0ONHkAv9pCAFxb0zJwDNTy,rap
3374,4qE9v3nK9IYXHu7LP8KSeB,Yellow Tape 2 (Deluxe),2022-03-25,0RESbWvOMyua0yuyVrztJ5,rap
3376,7snqOEQEtKqxJw3NTGml6i,Yellow Tape 2,2021-11-05,0RESbWvOMyua0yuyVrztJ5,rap
3377,1XKOXluL7TbCpPVsX4dqXv,Dum and Dummer 2,2021-03-26,0RESbWvOMyua0yuyVrztJ5,rap
3379,19trhRvgk1m0PnD3kmMKLY,PTSD (Deluxe),2020-05-29,5QdEbQJ3ylBnc3gsIASAT5,rap
3380,14YY4ksyKkVbBsZ5TJt0Zr,PTSD,2020-02-28,5QdEbQJ3ylBnc3gsIASAT5,rap
3381,5C1X3siQg4Q3wLWorK5i0z,Ethereal,2022-02-11,5IbEL2xjRtKsunfmsahLuO,rap
3382,62m2Y4PVeyW4TbmPSBvb0x,Beautiful Havoc,2020-10-30,5IbEL2xjRtKsunfmsahLuO,rap
3383,4UNZOq7e8WjnfaYm2rkltE,- TRAGEDY +,2020-03-06,5IbEL2xjRtKsunfmsahLuO,rap
3384,5Gk324K07rxU4Lq7ghWe2o,Doja,2022-02-04,5IbEL2xjRtKsunfmsahLuO,rap
3385,0fas0oNoInW2Y68mdaW0Gf,Go,2021-11-24,5IbEL2xjRtKsunfmsahLuO,rap
3386,28DUZ0itKISf2sr6hlseMy,Hybrid Theory (20th Anniversary Edition),2020-10-09,6XyY86QOPPrYVGvF9ch6wz,rap
3387,0zcNtUZ2oEpRmiDuWBFvcX,One More Light Live,2017-12-15,6XyY86QOPPrYVGvF9ch6wz,rap
3388,5Eevxp2BCbWq25ZdiXRwYd,One More Light,2017-05-19,6XyY86QOPPrYVGvF9ch6wz,rap
3389,6hU9JCoqq4GjYq86dQ1o9b,The Hunting Party: Acapellas + Instrumentals,2014-06-16,6XyY86QOPPrYVGvF9ch6wz,rap
3390,0Y2G7k6Znc8iiYP7xiIADr,Music Inspired By Biggie: I Got A Story To Tell,2021-03-01,5me0Irg2ANcsgc93uaYrpb,rap
3391,3Ezv8bXs9vS908aaKdWrQ3,The King & I,2017-05-19,5me0Irg2ANcsgc93uaYrpb,rap
3392,2M6rjUsC2T3KJ8Ku2uTTQG,Duets: The Final Chapter,2005-12-13,5me0Irg2ANcsgc93uaYrpb,rap
3393,0fvmq3jIMJpjHFDTZtjWtx,Just A Matter of Slime,2021-08-13,1cNDP5yjU5vjeR8qMf4grg,rap
3395,5xq6RMHNIBA73qld03dR6V,Melly vs. Melvin,2019-11-22,1cNDP5yjU5vjeR8qMf4grg,rap
3396,09b9NC1oQbYaHcacgXn66k,We All Shine,2019-01-18,1cNDP5yjU5vjeR8qMf4grg,rap
3397,7naY6j4wcgUxfHB98G79CW,I AM YOU,2018-08-03,1cNDP5yjU5vjeR8qMf4grg,rap
3399,3fc97ZWLIMc1xawhxbKrh2,East Atlanta Love Letter,2018-09-14,4IVAbR2w4JJNJDDRFP3E83,rap
