,id,name,artist_id,artist,album_id,album,popularity,playlist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1486,4uoR6qeWeuL4Qeu2qJzkuG,Hawái,1r4hJ1h58CWwUQe3MxPuau,Maluma,3GrNH56DyfyEvBAZ3Otptm,Hawái,74,19,0.787,0.728,6,-3.455,0,0.389,0.189,2.29e-05,0.0629,0.545,180.066,200198,4
1487,4uoR6qeWeuL4Qeu2qJzkuG,Hawái,1r4hJ1h58CWwUQe3MxPuau,Maluma,3GrNH56DyfyEvBAZ3Otptm,Hawái,74,19,0.787,0.728,6,-3.455,0,0.389,0.189,2.29e-05,0.0629,0.545,180.066,200198,4
1488,0EtuSDTRJYUwlPf4y6coIz,999 (with Camilo),0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,1ku34hDkNqM7caSllxf5Tu,999 (with Camilo),68,16,0.781,0.748,1,-4.604,1,0.242,0.105,0.0,0.156,0.788,149.819,224168,4
1489,2JPLbjOn0wPCngEot2STUS,Yonaguni,4q3ewBCX7sLwd24euuV69X,Bad Bunny,6VSOIs13DaSG2IPilNviX5,Yonaguni,87,16,0.644,0.648,1,-4.601,1,0.118,0.276,0.0,0.135,0.44,179.951,206710,4
1490,2JPLbjOn0wPCngEot2STUS,Yonaguni,4q3ewBCX7sLwd24euuV69X,Bad Bunny,6VSOIs13DaSG2IPilNviX5,Yonaguni,87,16,0.644,0.648,1,-4.601,1,0.118,0.276,0.0,0.135,0.44,179.951,206710,4
1491,2JPLbjOn0wPCngEot2STUS,Yonaguni,4q3ewBCX7sLwd24euuV69X,Bad Bunny,6VSOIs13DaSG2IPilNviX5,Yonaguni,87,19,0.644,0.648,1,-4.601,1,0.118,0.276,0.0,0.135,0.44,179.951,206710,4
1492,2JPLbjOn0wPCngEot2STUS,Yonaguni,4q3ewBCX7sLwd24euuV69X,Bad Bunny,6VSOIs13DaSG2IPilNviX5,Yonaguni,87,19,0.644,0.648,1,-4.601,1,0.118,0.276,0.0,0.135,0.44,179.951,206710,4
1493,0EhpEsp4L0oRGM0vmeaN5e,UN DIA (ONE DAY) (Feat. Tainy),1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,6aqSlutLYNpzSsK4dV5jTr,UN DIA (ONE DAY) (Feat. Tainy),74,16,0.571,0.693,6,-8.234,0,0.0545,0.00536,0.0,0.173,0.393,168.169,232253,4
1494,3VvA1wSxukMLsvXoXtlwWx,Hecha Pa' Mi,2NfSBtmWe7oPw1EmetJVso,Boza,1dzGsItgF4Gp1G4TNsdoXU,Más Negro Que Rojo,74,16,0.725,0.756,4,-5.013,1,0.0572,0.362,0.000685,0.103,0.828,100.07,186133,4
1495,30oZjF87SHCd0CE0ttGm5U,Carita de Inocente,3MHaV05u0io8fQbZ2XPtlC,Prince Royce,3si9Tt0MEyLf26borb6B5p,ALTER EGO,65,16,0.573,0.691,10,-5.142,0,0.0601,0.123,0.0,0.0746,0.93,129.946,191209,4
1496,1wcE84DVQUF16xudVFzezL,Mal Acostumbrao,2wkoKEfS6dXwThbyTnZWFU,Mau y Ricky,1UEzLJ7ykAt3pwIznJrI8Q,Mal Acostumbrao,73,16,0.86,0.516,6,-5.518,0,0.145,0.0616,0.0,0.0791,0.591,98.005,190406,4
1497,5cy2dREJqJAyf3CNr509W7,PENDEJO,7qG3b048QCHVRO5Pv1T5lw,Enrique Iglesias,61a4XyIj98CGrUnKy8Hu4Z,FINAL (Vol.1),65,16,0.89,0.666,7,-4.361,1,0.129,0.0606,6.54e-05,0.11,0.269,98.018,165360,4
1498,5RAIMjdrCEjpjaR5tBATXU,Aloha,1r4hJ1h58CWwUQe3MxPuau,Maluma,7F8Usvm4Vj3XlRztSBRfEH,"Aloha (feat. Darell, Mambo Kingz & Dj Luian)",72,16,0.807,0.712,1,-5.757,1,0.1,0.532,2.37e-05,0.163,0.792,100.004,241659,4
1499,3JCaq3KDSROg3TXhdiDa9n,Ley Seca,0EFisYRi20PTADoJrifHrz,Jhay Cortez,3AwzfcsXeljU7JkG5GQn8Y,Timelezz,78,16,0.759,0.842,8,-3.758,1,0.096,0.101,0.0,0.134,0.584,105.059,263253,4
1500,0G2zPzWqVjR68iNPmx2TBe,Volando - Remix,0Q8NcsJwoCbZOHHW63su5S,Mora,4MCZWUKxkvdMITh4KapBKX,Volando (Remix),83,16,0.659,0.688,6,-4.649,1,0.0673,0.207,0.0,0.113,0.632,153.979,273474,4
1501,7vrJn5hDSXRmdXoR30KgF1,BICHOTA,790FomKkXshlbRYZFtlgla,KAROL G,6LO6I2uJMkc0u7GHBYHa4Y,BICHOTA,75,16,0.863,0.666,1,-4.158,0,0.152,0.212,0.000493,0.103,0.838,163.908,178947,4
1502,7vrJn5hDSXRmdXoR30KgF1,BICHOTA,790FomKkXshlbRYZFtlgla,KAROL G,6LO6I2uJMkc0u7GHBYHa4Y,BICHOTA,75,16,0.863,0.666,1,-4.158,0,0.152,0.212,0.000493,0.103,0.838,163.908,178947,4
1503,7vrJn5hDSXRmdXoR30KgF1,BICHOTA,790FomKkXshlbRYZFtlgla,KAROL G,6LO6I2uJMkc0u7GHBYHa4Y,BICHOTA,75,19,0.863,0.666,1,-4.158,0,0.152,0.212,0.000493,0.103,0.838,163.908,178947,4
1504,7vrJn5hDSXRmdXoR30KgF1,BICHOTA,790FomKkXshlbRYZFtlgla,KAROL G,6LO6I2uJMkc0u7GHBYHa4Y,BICHOTA,75,19,0.863,0.666,1,-4.158,0,0.152,0.212,0.000493,0.103,0.838,163.908,178947,4
1505,66S2z95FN3nUAr9S1gUIsp,Ella,2NfSBtmWe7oPw1EmetJVso,Boza,4u2A6aHOyCOyG6yiCFM7rU,Ella,69,16,0.852,0.593,6,-5.892,1,0.0702,0.386,0.168,0.154,0.87,90.002,221407,4
1506,5xiAfKzE3mbxYbOkUZPR11,Ateo,5TYxZTjIPqKM8K8NuP9woO,C. Tangana,6Re7sviVustR53KeArspwK,Ateo,72,16,0.826,0.74,1,-4.45,0,0.0368,0.142,2.59e-05,0.175,0.733,130.025,239925,4
1507,079Ey5uxL04AKPQgVQwx5h,Baila Conmigo (with Rauw Alejandro),0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,2jGa3OwXatFYQAIS7OV7k9,Revelación - EP,75,16,0.823,0.544,5,-7.132,1,0.0715,0.0215,0.00315,0.0966,0.664,149.903,186088,4
1508,4K8cyoCDovlc4FvtUr2Hfx,Nada,5DUlefCLzVRzNWaNURTFpK,Cali Y El Dandee,5edB3I7c5aZj1bH2obUXne,Nada,67,16,0.684,0.808,0,-2.737,1,0.061,0.0518,1.02e-05,0.0858,0.712,173.905,174027,4
1509,1ycIhjQ4fQp2WqNFpSDEcX,Te Olvido,0tmwSHipWxN12fsoLcFU3B,Manuel Turizo,670aQBkW0Vvjz8GFVOVRJT,Te Olvido,69,16,0.704,0.698,0,-4.679,0,0.306,0.238,0.0,0.109,0.61,177.867,211436,4
1510,35UUpTmrcFXNIVIN26ujXl,Relación - Remix,77ziqFxp5gaInVrF2lj4ht,Sech,2O985DZAb4i6M6iu4HWqSX,Relación (Remix),76,16,0.793,0.771,5,-3.417,1,0.0959,0.0337,1.51e-06,0.284,0.835,171.943,247308,4
1511,35UUpTmrcFXNIVIN26ujXl,Relación - Remix,77ziqFxp5gaInVrF2lj4ht,Sech,2O985DZAb4i6M6iu4HWqSX,Relación (Remix),76,16,0.793,0.771,5,-3.417,1,0.0959,0.0337,1.51e-06,0.284,0.835,171.943,247308,4
