,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
716,Sleepy Fish,Velocities,0iV89YxzohPEDkJMzgkqBs,9,0.623,0.384,3,-16.777,1,0.0838,0.702,0.937,0.11,0.098,170.013,192000,4
717,LiSA,紅蓮華,0qMip0B2D4ePEjBJvAtYre,79,0.541,0.977,4,-2.828,0,0.157,0.00321,5.13e-05,0.0796,0.263,134.938,237587,4
718,Leavv,Aqueduct,1tPwtEZicYljOlAgnqT07U,11,0.668,0.0649,7,-16.613,1,0.0503,0.658,0.88,0.0999,0.254,80.017,175500,4
719,Zoe Wees,Control,50Td3qilgs8BLtv8mHyT1t,79,0.599,0.465,4,-4.95,1,0.0314,0.643,1.57e-06,0.149,0.0678,113.82,230880,4
720,Dotlights,Anywhere But Here,5JMKnDCcY5AphCmSHwyKPG,9,0.708,0.179,11,-17.705,0,0.0372,0.545,0.849,0.12,0.327,133.042,209255,4
721,1nonly,Bunny Girl,7KVBqGLGhrEejVokzYd8vF,75,0.77,0.659,6,-8.322,1,0.238,0.283,0.0,0.334,0.504,94.955,166896,4
722,G Mills,Harvest,2Qe9Hpwda5pbWAZGg6dMOe,10,0.6,0.316,8,-10.502,0,0.0496,0.176,0.921,0.1,0.51,80.066,120457,4
723,Saweetie,Back to the Streets (feat. Jhené Aiko),3MEruRteiUZXkStfTlZqRn,71,0.865,0.792,4,-4.207,1,0.0677,0.168,1.46e-05,0.107,0.562,101.985,189496,4
724,ØDYSSEE,Calm,3DIlFc3fn9GBy8KhJdSQAb,9,0.636,0.63,0,-7.12,0,0.0465,0.914,0.822,0.108,0.14,145.18,135500,4
725,Thouxanbanfauni,ULTRA VIOLET,2CxjDTsUBmVlcMjjy2UETJ,72,0.632,0.714,1,-8.924,0,0.063,0.118,0.926,0.12,0.313,159.938,157944,4
726,Ward Wills,Can’t Find the Words,2ufeC6yV0q32xfrqkTQGE3,13,0.741,0.173,4,-15.745,1,0.19,0.724,0.873,0.236,0.393,76.122,192632,4
727,Maluma,Hawái - Remix,0GzuHFG4Ql6DoyxFRnIk3F,75,0.766,0.788,6,-3.128,0,0.312,0.105,5.81e-06,0.142,0.609,179.984,200482,4
728,Sleepy Fish,Fireplace,3uPkidnkvuQS8yI6Hz2zKo,8,0.75,0.246,3,-12.363,1,0.0649,0.912,0.956,0.09,0.317,68.087,158833,4
729,Lil Uzi Vert,Baby Pluto,7hav1MHURQf5SAoPk0egqh,70,0.772,0.634,10,-6.101,0,0.212,0.135,0.0,0.432,0.671,160.052,210261,4
730,Juan Rios,Cascada,6rzGm812RGQTMv2B4bCdHj,8,0.937,0.391,7,-14.743,1,0.178,0.831,0.915,0.144,0.808,140.019,186910,4
731,Bryson Tiller,Sorrows,5TXQCMKN6TgemTL3c4wRTn,72,0.633,0.793,5,-6.847,0,0.182,0.148,0.0,0.867,0.761,109.093,193702,4
732,Al Stewart,Belsize Blues - [2020 Mix] [2020 Remaster],5rZEz0AIRMJTxTLuSKoV30,10,0.623,0.565,2,-10.667,1,0.0503,0.241,1.05e-06,0.21,0.726,90.05,208827,4
733,HARDY,ONE BEER (feat. Lauren Alaina & Devin Dawson),5Y05LYM8LhnQN78GqfjSeK,69,0.516,0.745,2,-8.352,1,0.0774,0.564,0.0,0.275,0.826,186.006,173173,3
734,Gareth Emery,You'll Be OK,6QfcL5rVYc0RqQ3UZX69kD,17,0.492,0.51,0,-12.341,1,0.0348,0.0121,0.00108,0.145,0.14,135.056,211583,4
735,WEEDMANE,SUICIDE YEAR,6hRvewF5MRAsqqxnNs3z2b,79,0.788,0.871,6,-5.782,0,0.043,0.172,0.00164,0.115,0.401,128.195,91820,4
736,Kid Cudi,Pursuit Of Happiness - Extended Steve Aoki Remix,56fmyw26sr2W5BfqbvtNmi,28,0.721,0.687,0,-5.189,1,0.0554,0.00957,0.0041,0.0462,0.619,128.013,373627,4
737,King Von,Armed & Dangerous,2297mxrYLBAC4XkhXs39If,70,0.696,0.592,1,-6.281,1,0.319,0.152,0.0,0.127,0.232,188.051,122680,4
738,Qrion,It's All Over - Mixed,27d7BybysxFAkygrYYUozY,12,0.304,0.249,9,-16.396,0,0.0367,0.673,0.927,0.0948,0.0399,109.694,232792,4
739,Don Toliver,Cardigan,0Li1OuXXfi7950ilZUFGkF,72,0.747,0.497,4,-6.542,0,0.0401,0.248,0.0,0.138,0.0663,142.046,158709,4
740,Qrion,B4 Montreal - TSHA Remix (Mixed),52Jfd9naoVkh8iQYPmfRzO,12,0.607,0.952,4,-5.385,0,0.0417,0.141,0.849,0.381,0.155,127.753,188000,4
741,Chris Stapleton,Joy Of My Life,4EuaDcxHmHKS6gZ5iuGba0,70,0.63,0.485,3,-8.955,1,0.0299,0.223,0.0535,0.103,0.398,149.23,274520,4
742,Luttrell,Lucky Ones - Leaving Laurel Remix (Mixed),0Lc0sd0Dqhi1CfiTLTUcNS,13,0.315,0.413,7,-11.075,1,0.0381,0.77,0.961,0.161,0.412,64.935,251500,4
743,Megan Thee Stallion,Girls in the Hood,6WbTTAGKrQtCQvmc5BuYfh,71,0.821,0.863,6,-3.159,1,0.353,0.00824,0.0,0.0377,0.874,180.013,154324,4
744,Imagine Dragons,Thunder,0B5ZK7sKy63LqzBFdc1Juj,14,0.601,0.824,0,-4.757,1,0.0474,0.00866,0.173,0.155,0.246,167.965,187147,4
745,Oliver Tree,Alien Boy,3BIIJgBJJ7NhhCv4MI6n7w,72,0.792,0.576,1,-7.046,1,0.132,0.0597,0.0,0.186,0.52,130.135,164313,4
746,Maroon 5,Wait,4egTUh77H4Zim2gwMPSKt7,11,0.657,0.593,8,-5.01,1,0.0581,0.0985,0.0,0.103,0.443,126.115,190640,4
747,Mac Miller,Surf,1kwnxJNVl7cwcU98RvMBaR,73,0.828,0.182,1,-13.066,0,0.166,0.754,0.0706,0.15,0.231,147.279,330507,4
748,Carl Michael Ziehrer,Die Landstreicher: Ouvertüre,2QNhoXcJ8i0WwnT2NnuxVy,19,0.344,0.284,3,-15.295,1,0.0647,0.94,0.67,0.147,0.289,140.735,298440,4
749,TWICE,I CAN'T STOP ME,37ZtpRBkHcaq6hHy0X98zn,79,0.657,0.88,10,-3.672,0,0.102,0.121,0.0,0.463,0.769,150.084,205493,4
750,J-Dooly,Never.,3jVVpgqYbRqbWaluAOuU09,5,0.953,0.606,6,-5.635,0,0.291,0.437,0.0,0.116,0.376,121.015,254067,4
751,HARDY,UNAPOLOGETICALLY COUNTRY AS HELL,45nc69lqKe3kY9sit2UU6G,68,0.543,0.648,1,-4.961,1,0.0311,0.172,0.0,0.329,0.617,124.053,235361,3
752,J-Dooly,"1,2,3,4life.",790qKaRDTaI7mT4WTCp4rB,6,0.897,0.44,2,-10.681,1,0.199,0.0129,0.000662,0.0892,0.286,100.999,184085,4
753,Young Dolph,No Sense (feat. Key Glock),67K5Ki1bLemeOlN012sip8,69,0.945,0.662,6,-6.581,1,0.24,0.0326,1.17e-05,0.124,0.782,124.01,140467,4
754,J-Dooly,So High.,2RZ6dclbxmBeL76mpC2sCn,6,0.947,0.385,1,-7.329,1,0.086,0.112,6.31e-05,0.12,0.1,130.015,261616,4
755,Kehlani,Can I,0uDdI4fAXCuNhQbmxENdsO,71,0.574,0.791,1,-3.752,1,0.11,0.419,0.0,0.0982,0.612,119.537,167810,4
756,J-Dooly,Free Smoke.,4RnSzXTmFBEvGRL7vSCSCO,6,0.802,0.246,8,-10.723,1,0.503,0.0717,0.0,0.144,0.0925,84.869,226090,4
757,Key Glock,Dough,2rw5cbtHTyzy8iruujD28d,69,0.876,0.463,1,-6.607,1,0.289,0.00166,0.000492,0.109,0.32,162.951,198867,4
758,Junko Yagami,カメレオン - 2020 Remaster,2427yJkNe3fmr2PnTRWmxL,13,0.75,0.781,9,-7.794,0,0.0312,0.0234,0.0043,0.22,0.864,115.959,251000,4
759,Bad Bunny,YO VISTO ASÍ,5fROvzNghPid8mbKNDYvpJ,76,0.688,0.881,7,-4.889,0,0.0474,0.0947,0.0,0.0804,0.677,123.013,191526,4
760,Ash,Orpheus - 2020 - Remaster,59002qbl9aAYFrQTOS94fs,15,0.442,0.934,11,-5.898,0,0.18,0.000305,0.0414,0.202,0.284,148.938,255613,4
761,Internet Money,Blastoff (feat. Juice Wrld & Trippie Redd),7dH9TPjTWQ60wOJkmYay8a,71,0.761,0.517,5,-6.916,1,0.0927,0.114,0.0,0.157,0.46,147.912,174730,4
762,October,Cavatina - 2020 Remastered,26D4YPZhn6NogmM0fPzSLG,10,0.394,0.115,5,-22.93,1,0.0391,0.994,0.923,0.0753,0.272,145.972,270295,4
763,Bad Bunny,HOY COBRÉ,0tjZv2hChdHZCW1zFXpy1J,75,0.86,0.725,11,-6.7,1,0.249,0.0464,9.1e-05,0.0994,0.375,145.001,162151,4
764,October,16.7.5 - 2020 Remastered,6ZmBHlPqVlCMcpHesOAETV,7,0.688,0.0767,2,-24.828,1,0.0638,0.982,0.87,0.0961,0.196,91.976,241750,3
765,iamjakehill,By the Sword,3HsFSrIsbO54TFDfG66pZm,74,0.685,0.76,2,-7.813,1,0.0512,0.0199,0.151,0.0866,0.781,160.035,125812,4
766,October,Recollection - 2020 Remastered,3JbvlsNATp0LA3Cb4S4Dac,10,0.351,0.12,5,-27.989,1,0.0419,0.988,0.927,0.0927,0.325,136.789,190492,4
767,Megan Thee Stallion,What’s New,3jRHehB5ulTMKfK5WaqDqc,71,0.934,0.873,1,-4.707,1,0.309,0.00488,0.0,0.0832,0.721,139.997,155090,4
768,The Cog is Dead,Aimee (Remastered 2020),7lfvWwze1qNob7gpV7q5Rl,9,0.552,0.657,10,-4.72,1,0.0333,0.594,1.21e-05,0.682,0.144,112.084,203886,4
769,Lil Uzi Vert,Bean (Kobe) [feat. Chief Keef],0IpnZchq8ek2A6pGEP2Qb1,69,0.733,0.567,0,-6.718,1,0.319,0.0129,0.0,0.382,0.319,75.491,238816,4
770,Astrid S,Years,6jCOvlORD28a7e1rgZJYWD,13,0.664,0.285,9,-7.907,1,0.0341,0.86,0.0,0.0952,0.256,124.13,190268,4
771,Justin Bieber,Intentions,364dI1bYnvamSnBJ8JcNzN,76,0.811,0.553,9,-6.644,1,0.0552,0.317,0.0,0.105,0.86,148.014,212869,4
772,Junko Yagami,ダイナマイト ラブ - 2020 Remaster,6CCzg76ozEPE6LiHtWXyOp,14,0.757,0.67,9,-9.304,0,0.0297,0.00842,0.000209,0.119,0.973,118.217,254293,4
773,Lil Baby,Heatin Up (feat. Gunna),7KSSdFCBHCfq4KPzz78ghk,70,0.788,0.436,1,-9.435,1,0.364,0.0611,0.0,0.0979,0.341,129.847,177314,4
774,Christy Moore,Rambling Robin - Remastered 2020,5RLeg1dOMEbbsGxQUmDKFR,12,0.456,0.485,4,-10.046,1,0.0437,0.855,0.0884,0.151,0.859,152.066,143840,1
775,Taylor Swift,this is me trying,7kt9e9LFSpN1zQtYEl19o1,74,0.515,0.476,9,-9.843,1,0.0328,0.314,4.74e-05,0.171,0.412,135.886,195097,4
776,The Brothers Gillespie,Pandemic Love or the Year Without a Spring (Live in Johnson City 10/30/2020),4iw1IrgiSQ6J5UJpfQJsRD,3,0.39,0.467,9,-11.264,1,0.0355,0.000868,6.06e-05,0.34,0.277,140.986,159194,3
777,MC Virgins,Trap Anthem,5YOlr46EwaH34hfN6r4vXR,75,0.818,0.82,6,-5.531,0,0.175,0.106,0.0,0.108,0.737,160.005,133018,4
778,Ash,Shining Light - 2020 - Remaster,4RfYytVLZVug49iuNMojuu,16,0.47,0.898,2,-5.001,1,0.0415,5.79e-06,0.204,0.122,0.543,106.975,309440,4
779,Luis R Conriquez,El Chino (En Vivo),4b148u8CHf38OU1yW5Xf1F,76,0.657,0.538,0,-5.831,0,0.124,0.637,0.0,0.104,0.832,111.61,180048,3
780,October,Inner Silence - 2020 Remastered,42prYIWiVRGBtQWdEyKzFZ,6,0.387,0.0313,5,-32.547,0,0.0718,0.995,0.925,0.117,0.225,66.707,166171,4
781,Zach Bryan,November Air,0u9NVrPqUINrHIFCuPOnYm,68,0.429,0.197,3,-9.798,1,0.032,0.774,3.02e-06,0.146,0.197,128.49,243709,4
782,David Bowie,"Seven Years In Tibet - Live at Radio City Music Hall New York, 15th October, 1997; 2020 Remaster",3KLU3rwnH7rdjuXgvGvubX,10,0.445,0.557,9,-9.957,0,0.0276,0.00338,0.0234,0.96,0.391,167.002,379720,4
783,BTS,Filter,4bZZVcgWWMWPBwzTTp642w,81,0.779,0.762,10,-5.188,0,0.0631,0.0224,0.0,0.121,0.859,110.043,180221,4
784,The Cog is Dead,Mechanical Menagerie (Remastered 2020),28z0GIPDseYWLdwp6wKOJ6,8,0.399,0.765,9,-6.107,1,0.106,0.025,0.0,0.335,0.533,139.896,161855,4
785,Jack Harlow,Face Of My City (feat. Lil Baby),6MDdceLYec4AxohmorE4vH,71,0.74,0.566,1,-8.389,0,0.32,0.0034,0.0,0.589,0.342,156.197,123447,4
786,The Cog is Dead,Time Machine (Remastered 2020),6uw6qpBqrHrr6C7hLmK2yL,9,0.416,0.449,9,-5.883,1,0.0271,0.526,0.0,0.106,0.211,169.974,215014,4
787,Penelope Scott,Feel Better,6e0vjU61OuUzcqVKPEXHb4,72,0.594,0.335,4,-13.415,0,0.0513,0.747,0.0111,0.0976,0.343,87.49,252630,4
788,Junko Yagami,哀愁パラダイス - 2020 Remaster,3OktwSmw5kFGDI4fC1z5hw,8,0.644,0.788,4,-7.35,0,0.0373,0.0365,0.000212,0.321,0.839,120.182,237560,4
789,Los Elegantes de Jerez,Tú,5GkeaIeCEfB0LOqk7sIVHQ,75,0.767,0.701,5,-5.928,0,0.0269,0.62,0.0295,0.166,0.888,115.017,194267,3
790,Will Rees,Into The Light - Mixed,5XMnKLGVly9OiHNXywzITE,12,0.425,0.993,11,-6.742,0,0.0463,0.000108,0.886,0.349,0.382,137.54,349275,4
791,Koe Wetzel,Good Die Young,6vBbirJ0n9L0j1XPtWlG6T,67,0.604,0.72,11,-5.628,1,0.0413,0.0396,0.0,0.0583,0.513,118.041,165699,4
792,Paul Denton,Let You Go - Mixed,19pmKyc4Bj1LPCrMrhZgIC,14,0.467,0.979,7,-7.93,1,0.0468,0.000233,0.234,0.343,0.0567,137.415,352061,4
793,Jelly Roll,Creature,5yqKUU2DUyilP2TvOrjEzT,68,0.763,0.603,8,-9.201,1,0.0788,0.176,0.0,0.0863,0.402,140.068,239592,4
794,Trippie Redd,Excitement (feat. PARTYNEXTDOOR),7FullO2NDkyvxLuxYVKINa,71,0.443,0.536,4,-8.187,0,0.0378,0.0194,4.24e-05,0.1,0.0391,121.967,283285,4
795,October,Nod Your Head - 2020 Remastered,2SAHvXYbfnBlP721cGSrdU,9,0.619,0.318,7,-16.303,1,0.0322,0.305,0.742,0.175,0.711,85.964,197065,4
796,Penelope Scott,Lotta True Crime,6Dqs6JddZc16yl27MDzIWY,72,0.519,0.413,8,-14.462,1,0.21,0.331,0.0666,0.106,0.404,159.398,202320,4
797,Kazuhito Murata,"So long, Mrs. - 2020 Remaster",73ccJ8cerJlWbAHTtYZX5I,14,0.734,0.587,0,-9.924,1,0.0304,0.339,0.00578,0.0757,0.967,120.154,206680,4
798,Lil Uzi Vert,Lo Mein,6CUP2khYzdphXebxVTfPE3,69,0.855,0.676,1,-5.736,1,0.325,0.0888,0.0,0.144,0.509,133.082,195299,4
